pn_lot,post_num,is_winner,fz
0301300068223000013_,720722,1,44fz
0301300068222000229_,720722,1,44fz
0301300335622000343_,720722,1,44fz
32312124859_1,720722,1,223fz
0369100004723000213_,720722,1,44fz
0301300275422000328_,720722,1,44fz
0301300275422000326_,720722,1,44fz
0301300275422000305_,720722,1,44fz
0301300275422000280_,720722,1,44fz
0301300037822000828_,720722,1,44fz
0301300037822000830_,720722,1,44fz
0301300264023000122_,720722,1,44fz
0301300264023000048_,720722,1,44fz
0169300011923000250_,720722,1,44fz
0169300011922000215_,720722,1,44fz
0169300011922000110_,720722,1,44fz
0169300011922000103_,720722,1,44fz
1001200001022000209_,720722,1,44fz
32110635576_1,570082,1,223fz
0158100019721000042_,570082,1,44fz
32110605330_1,570082,1,223fz
0358300178921000183_,570082,1,44fz
0319100014221000139_,177495,1,44fz
0319100004921000118_,177495,1,44fz
0319100014221000038_,177495,1,44fz
0319100014221000089_,177495,1,44fz
0319100014221000028_,177495,1,44fz
0319300012421000087_,177495,1,44fz
0519100001421000161_,177495,1,44fz
0519100001421000116_,177495,1,44fz
0519100001421000056_,177495,1,44fz
0519100001421000034_,177495,1,44fz
0519100001421000022_,177495,1,44fz
0519100001421000033_,177495,1,44fz
0519100001421000021_,177495,1,44fz
32110770947_1,177495,1,223fz
32110681333_1,177495,1,223fz
32110532117_1,177495,1,223fz
32110557228_1,177495,1,223fz
0163200000323000719_,587386,0,44fz
0330100002222000107_,587386,0,44fz
0387100002123000002_,587386,0,44fz
0372100048823000778_,587386,0,44fz
0328500000423000007_,587386,0,44fz
0301300037823000038_,587386,0,44fz
0301100001822000023_,587386,0,44fz
0328100014623000031_,587386,0,44fz
0301300315422000261_,587386,0,44fz
0324100004423000023_,587386,0,44fz
0301300315422000268_,587386,0,44fz
0163300029422001202_,587386,0,44fz
0163300029422000244_,587386,0,44fz
0860200000823006063_,587386,0,44fz
0329100002923000003_,587386,0,44fz
0333300006122000095_,587386,0,44fz
0180300000222000274_,587386,0,44fz
0163200000322004329_,587386,0,44fz
0131100006623000130_,587386,0,44fz
0317100017022000002_,587386,0,44fz
0368100003223000050_,587386,0,44fz
0301300024823000020_,587386,0,44fz
0828100000722000617_,587386,0,44fz
0169300003323000022_,587386,0,44fz
0171100001522000029_,587386,0,44fz
0373200052723000036_,587386,0,44fz
0573100002522000317_,587386,0,44fz
0301300024822000030_,587386,0,44fz
0301300024822000022_,587386,0,44fz
0136100006022000021_,587386,0,44fz
0369300381322000015_,587386,0,44fz
0375400001122000015_,587386,0,44fz
0362300021122000097_,587386,0,44fz
0352100013123000034_,587386,0,44fz
0831100000322000062_,587386,0,44fz
0127200000222000182_,587386,0,44fz
0328300002622000056_,587386,0,44fz
0131100006622000139_,587386,0,44fz
0346300000223000175_,587386,0,44fz
0163100007123000010_,587386,0,44fz
0334100000122000071_,587386,0,44fz
0821600003323000025_,587386,0,44fz
0348100057422000014_,587386,0,44fz
0359100005423000085_,587386,0,44fz
0318300008822000543_,587386,0,44fz
0864500000223005457_,587386,0,44fz
0328300032822000496_,587386,0,44fz
0329400001322000015_,587386,0,44fz
0187300006522001710_,587386,0,44fz
0860200000822000302_,587386,0,44fz
0328200025023000006_,587386,0,44fz
0371300128223000029_,587386,0,44fz
0352500000622000045_,587386,0,44fz
0316100015223000600_,587386,0,44fz
0573100027723000121_,587386,0,44fz
0318300119423000475_,587386,0,44fz
0318300065122000501_,587386,0,44fz
0128100000523000005_,587386,0,44fz
0348100057423000001_,587386,0,44fz
0319100020123000072_,587386,0,44fz
0352100002922000029_,587386,0,44fz
0328100014023000018_,587386,0,44fz
0168100007722000028_,587386,0,44fz
0174500001123004927_,587386,0,44fz
0317100020723000023_,587386,0,44fz
0317100013123000030_,587386,0,44fz
0868100001222000018_,587386,0,44fz
0317100004922000057_,587386,0,44fz
0367100002023000017_,587386,0,44fz
0321100026022000010_,587386,0,44fz
0362300021123000096_,587386,0,44fz
0333100001622000047_,587386,0,44fz
0815500000522006276_,587386,0,44fz
0369100013322000088_,587386,0,44fz
0360300013023000274_,587386,0,44fz
0333300006123000117_,587386,0,44fz
0825500000722005052_,587386,0,44fz
0127200000222006073_,587386,0,44fz
0162100019022000034_,587386,0,44fz
0364100001522000027_,587386,0,44fz
0153100008023000020_,587386,0,44fz
0860200000822006841_,587386,0,44fz
0342100011323000052_,587386,0,44fz
0167200003423001828_,587386,0,44fz
0815500000523004665_,587386,0,44fz
0144100000222000018_,587386,0,44fz
0352500000623000022_,587386,0,44fz
0163300029422001121_,587386,0,44fz
0862200000123000016_,587386,0,44fz
0325200023522000043_,587386,0,44fz
0744200000223007937_,587386,0,44fz
0362300021123000047_,587386,0,44fz
0367100002023000091_,587386,0,44fz
0164100007923000028_,587386,0,44fz
0301300380023000274_,587386,0,44fz
0187300006523001847_,587386,0,44fz
0337100015523000010_,587386,0,44fz
0369300009322000003_,587386,0,44fz
0143100011822000023_,587386,0,44fz
0146100008422000047_,587386,0,44fz
0372200041523000098_,587386,0,44fz
0321300009122000018_,587386,0,44fz
0127300013123000474_,587386,0,44fz
0801500000922000084_,587386,0,44fz
0839100000322000151_,587386,0,44fz
0864500000222003253_,587386,0,44fz
0127200000222003629_,587386,0,44fz
0860200000822004486_,587386,0,44fz
0127200000222003584_,587386,0,44fz
0301100001822000004_,587386,0,44fz
0129100004423000001_,587386,0,44fz
0136100003523000133_,587386,0,44fz
0864500000223004639_,587386,0,44fz
0127100006022000071_,587386,0,44fz
0524300003722000017_,587386,0,44fz
0864500000222003277_,587386,0,44fz
0352100002823000051_,587386,0,44fz
0151100007223000052_,587386,0,44fz
0342300118723000001_,587386,0,44fz
0160300003622000201_,587386,0,44fz
0373200082123000513_,587386,0,44fz
0342200038222000038_,587386,0,44fz
0163200000322001417_,587386,0,44fz
0342100021023000010_,587386,0,44fz
0163300029422001023_,587386,0,44fz
0301300342923000013_,587386,0,44fz
0109100007022000015_,587386,0,44fz
32211039806_1,587386,0,223fz
32312802553_1,587386,0,223fz
0109100007023000066_,587386,0,44fz
32211110269_1,587386,0,223fz
0118300003223000462_,587386,0,44fz
0109100007022000079_,587386,0,44fz
0111100000222000021_,587386,0,44fz
32312862814_1,587386,0,223fz
0106100000923000014_,587386,0,44fz
32312152246_1,587386,0,223fz
32211595420_1,587386,0,223fz
32312777314_1,587386,0,223fz
0115100003823000036_,587386,0,44fz
32313070651_1,587386,0,223fz
0115100003822000027_,587386,0,44fz
32211297383_1,587386,0,223fz
32312030837_1,587386,0,223fz
0109100002022000053_,68945,0,44fz
32312340745_1,68945,0,223fz
0109100007022000068_,68945,0,44fz
0340100015323000054_,68945,0,44fz
0373200067023000354_,68945,0,44fz
0301300315422000019_,68945,0,44fz
0301200077622000011_,68945,0,44fz
0319100004923000034_,68945,0,44fz
0321100017623000275_,68945,0,44fz
0368400000223001080_,68945,0,44fz
0864500000223000565_,68945,0,44fz
0319200064423000147_,68945,0,44fz
0373200100122000388_,68945,0,44fz
0375200036223000141_,68945,0,44fz
0387200030622000140_,68945,0,44fz
0368400000222000808_,68945,0,44fz
0163200000323003940_,68945,0,44fz
0332100025123000040_,68945,0,44fz
0372200059923000009_,68945,0,44fz
0356300055023000029_,68945,0,44fz
0303300009922000136_,68945,0,44fz
0360200040823000023_,68945,0,44fz
0859200001123015166_,68945,0,44fz
0335200004723000297_,68945,0,44fz
0369100004723000524_,68945,0,44fz
0321100017623000294_,68945,0,44fz
0359100003722000067_,68945,0,44fz
0329300219722000015_,68945,0,44fz
0873200009823003444_,68945,0,44fz
0348100060023000069_,68945,0,44fz
0332100025122000354_,68945,0,44fz
0343300010822000028_,68945,0,44fz
0132600008322000419_,68945,0,44fz
0341100004122000026_,68945,0,44fz
0321300132722000022_,68945,0,44fz
0301200035122000122_,68945,0,44fz
0356300165922000043_,68945,0,44fz
0328300002623000001_,68945,0,44fz
0301300021822000296_,68945,0,44fz
0368400000223000150_,68945,0,44fz
0342300095823000099_,68945,0,44fz
0372200005422000092_,68945,0,44fz
0301300125822000115_,68945,0,44fz
0334200002523000196_,68945,0,44fz
0127200000222007604_,68945,0,44fz
0139200000122003765_,68945,0,44fz
0373100091922000281_,68945,0,44fz
0387200013022000055_,68945,0,44fz
0860200000822000079_,68945,0,44fz
0301300037822000765_,68945,0,44fz
0318300065122000272_,68945,0,44fz
0328300014223000008_,68945,0,44fz
0321500000222000029_,68945,0,44fz
32211197205_1,68945,0,223fz
0373200054523000014_,68945,0,44fz
0873200001723000204_,68945,0,44fz
0373100108122000241_,68945,0,44fz
0338300047922000061_,68945,0,44fz
0368400000223000783_,68945,0,44fz
0387200009123000512_,68945,0,44fz
0809500000322001438_,68945,0,44fz
0860200000822004327_,68945,0,44fz
0339100001823000055_,68945,0,44fz
0356100021523000032_,68945,0,44fz
0301300106023000155_,68945,0,44fz
0360300056822000065_,68945,0,44fz
0190200000323005248_,68945,0,44fz
0346300000223000164_,68945,0,44fz
0850200000422001926_,68945,0,44fz
0360300013022000150_,68945,0,44fz
0369300013723000078_,68945,0,44fz
0373100072123001719_,68945,0,44fz
0373200068623000497_,68945,0,44fz
0341100004123000021_,68945,0,44fz
0744200000223003685_,68945,0,44fz
0321300009223000465_,68945,0,44fz
0815500000523012391_,68945,0,44fz
0164200001923004347_,68945,0,44fz
0373200174523000186_,68945,0,44fz
0363100004223000065_,68945,0,44fz
0329100015623000153_,68945,0,44fz
0744200000223000206_,68945,0,44fz
0338200009722000063_,68945,0,44fz
0301200046622000045_,68945,0,44fz
0302100010323000019_,68945,0,44fz
0373200022222000271_,68945,0,44fz
0320400000423000217_,68945,0,44fz
0387200009123002704_,68945,0,44fz
0321200008523000096_,68945,0,44fz
0373200086723001377_,68945,0,44fz
0143100006523000047_,68945,0,44fz
0301100046122000121_,68945,0,44fz
0301300001623000361_,68945,0,44fz
0319100004922000148_,68945,0,44fz
0369300013722000054_,68945,0,44fz
0825500000722003404_,68945,0,44fz
0860200000823005353_,68945,0,44fz
0301300380022000079_,68945,0,44fz
0318200025623000042_,68945,0,44fz
0859200001123009336_,68945,0,44fz
0360300263423000218_,68945,0,44fz
0328300015623000044_,68945,0,44fz
0369100004723000221_,68945,0,44fz
0373200215523000342_,68945,0,44fz
0360200048322000081_,68945,0,44fz
0825500000723002761_,68945,0,44fz
0356300165923000009_,68945,0,44fz
0301000000223000642_,68945,0,44fz
0338300007822000149_,68945,0,44fz
COM16012300001_1,609407,0,com
COM16012300002_1,609407,0,com
ATOM10092100276_1,609407,0,atom
32312607679_1,609407,0,223fz
32312362355_1,609407,0,223fz
32312243847_1,609407,0,223fz
32312434513_1,609407,0,223fz
32312098899_1,609407,0,223fz
32312244809_1,609407,0,223fz
32313018225_1,609407,0,223fz
32312310312_1,609407,0,223fz
32312408291_1,747852,1,223fz
32211695489_1,747852,1,223fz
32312847441_1,747852,1,223fz
32211724123_1,747852,1,223fz
0136300015121000020_,664508,0,44fz
0136300015121000021_,664508,0,44fz
0136300015121000028_,664508,0,44fz
0136300015121000029_,664508,0,44fz
0136300015121000032_,664508,0,44fz
32211853287_1,614247,0,223fz
32211845658_1,614247,0,223fz
0160400000322000002_,614247,0,44fz
COM10052300010_1,614247,0,com
ATOM20022100035_1,614247,0,atom
RH10112300002_1,624680,0,com
COM06052300001_1,624680,0,com
RH19102300005_1,624680,0,com
COM07092200068_1,624680,0,com
32211784633_1,624680,0,223fz
32312530219_1,624680,0,223fz
32312509932_1,624680,0,223fz
32312434636_1,624680,0,223fz
32312213124_1,624680,0,223fz
32313083526_1,624680,0,223fz
32313135176_1,624680,0,223fz
32211700455_1,624680,0,223fz
32312530211_1,624680,0,223fz
32312026977_1,624680,0,223fz
32312341340_1,624680,0,223fz
32313091810_1,624680,0,223fz
32312434658_1,624680,0,223fz
32312293405_1,624680,0,223fz
32312079023_1,624680,0,223fz
32312026977_2,624680,0,223fz
32312490355_1,624680,0,223fz
32312273624_1,624680,0,223fz
32211772896_1,624680,0,223fz
32312226328_1,624680,0,223fz
32312231187_1,624680,0,223fz
32312388828_1,624680,0,223fz
32211771894_1,624680,0,223fz
32211771871_1,624680,0,223fz
32211771878_1,624680,0,223fz
32312353837_1,624680,0,223fz
32211730607_1,624680,0,223fz
32312676659_1,624680,0,223fz
32312221854_1,624680,0,223fz
32312084095_1,624680,0,223fz
32211772771_1,624680,0,223fz
32312652033_1,624680,0,223fz
COM13092300053_1,624680,0,com
COM09062300036_1,624680,0,com
32110480606_1,587386,1,223fz
0354100009021000095_,587386,1,44fz
0342100008921000026_,587386,1,44fz
0334100000121000025_,587386,1,44fz
0319100006721000104_,587386,1,44fz
0368100003621000015_,587386,1,44fz
0842300004021000376_,587386,1,44fz
0128100000521000040_,587386,1,44fz
0373100091422000065_,757419,1,44fz
32211136579_1,757419,1,223fz
32211222807_1,757419,1,223fz
ATOM08042100189_1,757419,1,atom
ATOM17112200190_1,252644,1,atom
COM27042200024_1,252644,1,com
32312882315_1,252644,1,223fz
32211774441_1,252644,1,223fz
32312386040_1,252644,1,223fz
32211604511_1,252644,1,223fz
32211805243_1,252644,1,223fz
32312824776_1,252644,1,223fz
32312904875_1,252644,1,223fz
32313056351_1,252644,1,223fz
32211253295_1,252644,1,223fz
32312180504_1,252644,1,223fz
32312557364_1,252644,1,223fz
32312819132_1,252644,1,223fz
32312775659_1,252644,1,223fz
32211532258_1,252644,1,223fz
32312820319_1,252644,1,223fz
32211735341_1,252644,1,223fz
0119100009923000071_,177495,0,44fz
32211917371_1,177495,0,223fz
0119100009923000009_,177495,0,44fz
0119100009923000008_,177495,0,44fz
32211118679_1,177495,0,223fz
0319300012422000305_,177495,0,44fz
0319100014223000002_,177495,0,44fz
0319100014222000030_,177495,0,44fz
0319100014223000089_,177495,0,44fz
0319300012423000201_,177495,0,44fz
0348100075222000145_,177495,0,44fz
0348100075222000150_,177495,0,44fz
0519100001423000002_,177495,0,44fz
0348100075222000089_,177495,0,44fz
0519100001422000125_,177495,0,44fz
COM12102200059_1,177495,0,com
COM29032300056_1,177495,0,com
0519100001423000014_,177495,0,44fz
0348100075222000092_,177495,0,44fz
0348100075222000167_,177495,0,44fz
ATOM25112200031_1,177495,0,atom
0348100075222000090_,177495,0,44fz
0519100001423000005_,177495,0,44fz
ATOM17062200120_1,177495,0,atom
0348100075222000159_,177495,0,44fz
0319100014223000062_,177495,0,44fz
0319200066223000031_,177495,0,44fz
0573500000122000120_,761347,1,44fz
0573500000123000099_,761347,1,44fz
0373200068623000437_,761347,1,44fz
0337100008723000010_,761347,1,44fz
0373200557923000057_,761347,1,44fz
0373200045223000086_,761347,1,44fz
0373100009923000045_,761347,1,44fz
32312140794_1,761347,1,223fz
0373200024422000257_,761347,1,44fz
0373100006323000031_,761347,1,44fz
ROSSETI16082200010_1,761347,1,com
0372100048823000481_,761347,1,44fz
0373200086723000053_,650029,0,44fz
0319100006723000045_,650029,0,44fz
0334200002522000165_,650029,0,44fz
0301300016023000005_,650029,0,44fz
0362200014423000179_,650029,0,44fz
0363100005422000076_,650029,0,44fz
0336100012023000024_,650029,0,44fz
0343100004723000169_,650029,0,44fz
0328300032822000997_,650029,0,44fz
0330100012823000020_,650029,0,44fz
0328300032823000103_,650029,0,44fz
0343100008223000089_,650029,0,44fz
0322300001722000468_,650029,0,44fz
0343100008223000140_,650029,0,44fz
0319100022523000048_,650029,0,44fz
0319100025922000102_,650029,0,44fz
0336100012022000079_,650029,0,44fz
0319100006023000017_,650029,0,44fz
0387200017723000068_,650029,0,44fz
0856600010922000374_,650029,0,44fz
0373200006223000052_,650029,0,44fz
0302100019222000027_,650029,0,44fz
32211583897_1,650029,0,223fz
32211594069_1,650029,0,223fz
0372200231223000022_,767018,1,44fz
0573100015422000004_,767018,1,44fz
0372200286223000007_,767018,1,44fz
0372200289823000029_,767018,1,44fz
32312832772_1,767018,1,223fz
0360200027623000020_,767018,1,44fz
0573100020522000027_,767018,1,44fz
0372200189923000017_,767018,1,44fz
32211159971_1,767018,1,223fz
0372200106023000093_,767018,1,44fz
0342200040123000003_,767018,1,44fz
0372100004223000005_,767018,1,44fz
0895100000122000072_,767018,1,44fz
32312331559_1,767018,1,223fz
0243100002422000021_,767018,1,44fz
0348100021122000075_,767018,1,44fz
32211271896_1,767018,1,223fz
0243100002423000045_,767018,1,44fz
0339100014523000010_,767018,1,44fz
32312377212_1,767018,1,223fz
0372200231223000002_,767018,1,44fz
0172300003922000018_,767018,1,44fz
0339100014522000017_,767018,1,44fz
0387200015123000135_,767018,1,44fz
0372200197823000015_,767018,1,44fz
32312514527_1,767018,1,223fz
32312217197_1,767018,1,223fz
32211631441_1,767018,1,223fz
32312828725_1,767018,1,223fz
0318200080022000153_,767018,1,44fz
0120300001723000138_,767018,1,44fz
0148300014523000252_,767018,1,44fz
0372200106022000118_,767018,1,44fz
32312025125_1,660767,0,223fz
32211985792_1,660767,0,223fz
0373200032223000075_,660767,0,44fz
0373200017523000183_,660767,0,44fz
0373200032223000237_,660767,0,44fz
0373200032223001071_,660767,0,44fz
0373200032223000510_,660767,0,44fz
0373200041123001016_,660767,0,44fz
0373200032223000280_,660767,0,44fz
0373200032222001465_,660767,0,44fz
0373200041123000114_,660767,0,44fz
0373200032223000234_,660767,0,44fz
0373200032222001464_,660767,0,44fz
0373200014223000827_,660767,0,44fz
0373200018823001042_,660767,0,44fz
0373200032223001060_,660767,0,44fz
0373200018823001041_,660767,0,44fz
0373200041123000113_,660767,0,44fz
0373200014223000099_,660767,0,44fz
0373200041123001011_,660767,0,44fz
0373200018823000219_,660767,0,44fz
0373200018823001384_,660767,0,44fz
0373200017523001217_,660767,0,44fz
0373200014223000120_,660767,0,44fz
0373200018823001294_,660767,0,44fz
0136300015122000038_,664508,0,44fz
0136300015122000035_,664508,0,44fz
0136300015122000034_,664508,0,44fz
0136300015122000051_,664508,0,44fz
0136300015122000037_,664508,0,44fz
32110763436_1,609407,1,223fz
32110092146_1,609407,1,223fz
32110641739_1,609407,1,223fz
0860200000821008136_,614247,1,44fz
0860200000821000422_,614247,1,44fz
0860200000821004021_,614247,1,44fz
32110129783_1,614247,1,223fz
0132400000521000002_,614247,1,44fz
0160400000321000024_,614247,1,44fz
MSP0111221131041_1,717351,0,com
32211349481_1,717351,0,223fz
32211370635_1,717351,0,223fz
32211225855_1,717351,0,223fz
32211349748_1,717351,0,223fz
32211170147_1,717351,0,223fz
32211059435_1,717351,0,223fz
32211369787_1,717351,0,223fz
32211573674_1,717351,0,223fz
32211349617_1,717351,0,223fz
32211059557_1,717351,0,223fz
32211349697_1,717351,0,223fz
0369100008523000121_,720722,0,44fz
0101200009222000043_,720722,0,44fz
32312588042_1,720722,0,223fz
0101200009223000010_,720722,0,44fz
32312179140_1,720722,0,223fz
COM25112100013_1,252644,0,com
ATOM05072100130_1,252644,0,atom
32312466456_1,252644,0,223fz
32312750331_1,252644,0,223fz
32312782376_1,252644,0,223fz
32312791476_1,252644,0,223fz
32312831914_1,252644,0,223fz
32109944536_1,717351,0,223fz
32110020075_1,717351,0,223fz
32110162458_1,717351,0,223fz
32110277586_1,717351,0,223fz
0301300275422000313_,720722,0,44fz
0301300275422000314_,720722,0,44fz
0169300011923000184_,720722,0,44fz
0369100004723000368_,720722,0,44fz
32212004605_1,720722,0,223fz
32211133072_1,720722,0,223fz
0101200009221000016_,720722,0,44fz
0101200009221000013_,720722,0,44fz
0101200009221000010_,720722,0,44fz
0101200009221000009_,720722,0,44fz
0101200009221000007_,720722,0,44fz
0101200009221000006_,720722,0,44fz
0101200009221000005_,720722,0,44fz
0101200009221000003_,720722,0,44fz
0101200009221000002_,720722,0,44fz
0301300063621000035_,720722,0,44fz
0301200075121000014_,720722,0,44fz
32110154411_1,720722,0,223fz
32110105310_1,720722,0,223fz
32110082267_1,720722,0,223fz
32110743585_1,720722,0,223fz
32110133963_1,720722,0,223fz
32110688236_1,720722,0,223fz
32110030205_1,720722,0,223fz
0369100004721000098_,720722,0,44fz
0356500006421000124_,720722,0,44fz
0309500000321000175_,720722,0,44fz
0356500002621000055_,720722,0,44fz
B1906231442046_1,747852,0,com
0373200557922000013_,747852,0,44fz
COM16052300079_1,747852,0,com
COM19062300017_1,747852,0,com
COM02082300039_1,747852,0,com
B2206231419441_1,747852,0,com
0873500000823005668_,747852,0,44fz
ATOM09062100035_1,747852,0,atom
ATOM21072300102_1,747852,0,atom
32211665613_1,747852,0,223fz
32312713481_1,747852,0,223fz
32313094452_1,747852,0,223fz
32312539007_1,747852,0,223fz
32312185713_1,747852,0,223fz
32312609501_1,747852,0,223fz
32211314588_1,747852,0,223fz
32312192129_1,747852,0,223fz
32312175291_1,747852,0,223fz
32211336186_1,747852,0,223fz
32110734495_1,252644,1,223fz
32110591791_1,252644,1,223fz
32110201943_1,252644,1,223fz
32110660480_1,252644,1,223fz
32211099749_1,757419,0,223fz
32211218468_1,757419,0,223fz
32211128855_1,757419,0,223fz
ATOM10062100091_1,757419,0,atom
ATOM28052100115_1,757419,0,atom
ATOM16072100315_1,757419,0,atom
ATOM28072100276_1,757419,0,atom
ATOM22102100039_1,757419,0,atom
32312158769_1,761347,0,223fz
ATOM21042200309_1,761347,0,atom
0573500000122000045_,761347,0,44fz
0373100006322000019_,761347,0,44fz
0373200082122000891_,761347,0,44fz
COM06022100002_1,761347,0,com
ROSSETI11072300021_1,761347,0,com
0373200557922000008_,761347,0,44fz
0373200107423000028_,761347,0,44fz
0143100008822000008_,815623,1,44fz
0143100003623000003_,815623,1,44fz
0843500000223004844_,815623,1,44fz
0843500000222002527_,815623,1,44fz
0843100000222000073_,815623,1,44fz
0843100000222000015_,815623,1,44fz
0343100003522000005_,815623,1,44fz
0343100003522000016_,815623,1,44fz
0343100003522000020_,815623,1,44fz
0343100004723000079_,815623,1,44fz
0343100004723000111_,815623,1,44fz
0343100005723000033_,815623,1,44fz
0343100008223000009_,815623,1,44fz
0343100008223000083_,815623,1,44fz
0120600002723000004_,767018,0,44fz
0318300036022000086_,767018,0,44fz
0318300300223000012_,767018,0,44fz
0801500000323000001_,767018,0,44fz
0158300007122000039_,767018,0,44fz
0360200008923000013_,767018,0,44fz
0573500000122000401_,767018,0,44fz
0164200001923000994_,767018,0,44fz
0303300132522000015_,767018,0,44fz
0360200014923000036_,767018,0,44fz
0843500000221005698_,365583,0,44fz
0843500000221001478_,365583,0,44fz
0843500000221000050_,365583,0,44fz
0843500000221001489_,365583,0,44fz
0843500000221002985_,365583,0,44fz
0843500000221005708_,365583,0,44fz
0843500000221001477_,365583,0,44fz
0843500000221000436_,365583,0,44fz
0843500000221002100_,366512,0,44fz
0332100025421000093_,747852,0,44fz
32110677456_1,747852,0,223fz
32110327421_1,747852,0,223fz
32110341670_1,747852,0,223fz
32110185030_1,747852,0,223fz
0133200001721001871_,747852,0,44fz
0573100002521000668_,747852,0,44fz
0109300036421000002_,747852,0,44fz
0369100028422000004_,365583,0,44fz
0843500000222000789_,365583,0,44fz
0843500000222001975_,366512,0,44fz
0843400000123000010_,366512,0,44fz
0843500000222002950_,366512,0,44fz
0843500000222002951_,366512,0,44fz
0843500000222001746_,366512,0,44fz
0843500000222002343_,366512,0,44fz
0343200010723000070_,366512,0,44fz
0843500000223001277_,366512,0,44fz
0843500000222002558_,366512,0,44fz
0843500000223000786_,366512,0,44fz
0843500000222001647_,366512,0,44fz
0843500000222002626_,366512,0,44fz
0843500000222006590_,366512,0,44fz
0843500000222001561_,366512,0,44fz
0843500000222002531_,366512,0,44fz
0843500000222001391_,366512,0,44fz
0843500000222001344_,366512,0,44fz
0843500000223001196_,366512,0,44fz
0843500000223000290_,366512,0,44fz
0843500000222002505_,366512,0,44fz
0843500000222001586_,366512,0,44fz
32110200985_1,757419,0,223fz
0164200003021004063_,757419,0,44fz
0373100087921000021_,757419,0,44fz
0373100043221000004_,757419,0,44fz
0373100091421000103_,757419,0,44fz
0373100091421000106_,757419,0,44fz
0373200051821000621_,757419,0,44fz
0373100072121000320_,757419,0,44fz
0373200020221000110_,757419,0,44fz
0373100087921000022_,757419,0,44fz
0373100066121000086_,757419,0,44fz
0373100066121000088_,757419,0,44fz
0373100074521000178_,757419,0,44fz
0373200017421000876_,757419,0,44fz
32110198840_1,757419,0,223fz
32110715699_1,757419,0,223fz
32110954217_1,757419,0,223fz
32109992494_1,757419,0,223fz
32110850348_1,757419,0,223fz
32110329306_1,757419,0,223fz
32110897420_1,757419,0,223fz
32109925309_1,757419,0,223fz
32110890893_1,757419,0,223fz
32110127053_1,757419,0,223fz
32109952181_1,757419,0,223fz
32110845703_1,757419,0,223fz
32110385359_1,757419,0,223fz
32109907604_1,757419,0,223fz
32110474730_1,757419,0,223fz
0373200557921000002_,761347,0,44fz
0337100017321000186_,761347,0,44fz
0328300032821000352_,761347,0,44fz
0136300015121000030_,664508,1,44fz
